name,typ,node,maxcap,mincap,heat_rate,var_om,fix_om,st_cost,ramp,minup,mindn,deratef
KAMPONG_CHAM_GTS,oil_ic,KPCM,10.74,4,10.33,3.17,1.5,50,11,1,1,1
KAMPOT_CPP,oil_ic,KPT,24,9,10.33,3.17,1.5,50,24,1,1,1
KEANSVAY,coal_st,GS7,10.1,4,10.05,4.6,2.7,90,10,10,10,1
SIHANOUKVILLE_CIIDG,coal_st,SHV,270,108,10.05,4.6,2.7,90,270,10,10,1
SIHANOUKVILLE_STUNG_HAV,coal_st,STH,120,48,10.05,4.6,2.7,90,120,10,10,1
SIHANOUKVILLE,oil_ic,SHV,10.44,4,10.33,3.17,1.5,50,10,1,1,1
SIHANOUKVILLE_COLBEN,oil_ic,SHV,8,3,10.33,3.17,1.5,50,8,1,1,1
KHAN_DANG_KOR,oil_st,GS5,45,18,10.19,3.17,1.5,50,45,1,1,1
PHUM_TROR_CPGC,oil_ic,GS1,5,2,10.33,3.17,1.5,50,5,1,1,1
PPSEZ_PLANT,oil_ic,GS1,10,4,10.33,3.17,1.5,50,10,1,1,1
CENTRALE-2,oil_ic,GS1,18,7,10.33,3.17,1.5,50,18,1,1,1
CENTRALE-2_CUPL,oil_st,GS1,37.1,14,10.19,3.17,1.5,50,37,1,1,1
KHAN_MEAN_CHAY,oil_st,GS2,48.12,19,10.19,3.17,1.5,50,48,1,1,1
CENTRALE-3,oil_ic,GS2,15.4,6,10.33,3.17,1.5,50,15,1,1,1
CENTRALE-5,oil_ic,GS2,10,4,10.33,3.17,1.5,50,10,1,1,1
CENTRALE-6,oil_ic,GS3,18.6,7,10.33,3.17,1.5,50,19,1,1,1
KHAN_RUSSEY_KEO_COLBEN,oil_ic,GS3,14.8,5,10.19,3.17,1.5,50,15,1,1,1
SIEM_RIEP,oil_ic,SRP,6.95,2,10.33,3.17,1.5,50,7,1,1,1
impnode_viet,imp_viet,Viet,200,1,1,0,0,0,200,1,1,1
impnode_thai,imp_thai,Thai,120,1,1,0,0,0,120,1,1,1
SLACK1,slack,GS1,10000,1,10000,10000,10000000000,10000000000,5000,1,1,1
