name,unit_type,fuel_type,fuel_price_optional
KAMPONGCHAMGTS,oil_ic,oil,6
KAMPOTCPP,oil_ic,oil,6
KEANSVAY,coal_st,coal,5.2
SIHANOUKVILLECIIDG,coal_st,coal,5.2
SIHANOUKVILLESTUNGHAV,coal_st,coal,5.2
SIHANOUKVILLE,oil_ic,oil,6
SIHANOUKVILLECOLBEN,oil_ic,oil,6
KHANDANGKOR,oil_st,oil,6
PHUMTRORCPGC,oil_ic,oil,6
PPSEZPLANT,oil_ic,oil,6
CENTRALE2,oil_ic,oil,6
CENTRALE2CUPL,oil_st,oil,6
KHANMEANCHAY,oil_st,oil,6
CENTRALE3,oil_ic,oil,6
CENTRALE5,oil_ic,oil,6
CENTRALE6,oil_ic,oil,6
KHANRUSSEYKEOCOLBEN,oil_ic,oil,6
SIEMRIEP,oil_ic,oil,6
Viet,import,import,65
Thai,import,import,66
KMCh,hydro,hydro,0
KIR1h,hydro,hydro,0
KIR3h,hydro,hydro,0
LRCh,hydro,hydro,0
ATYh,hydro,hydro,0
TTYh,hydro,hydro,0
Salabam,import,import,48
GS1,shortfall,shortfall,1000
GS2,shortfall,shortfall,1000
GS3,shortfall,shortfall,1000
GS4,shortfall,shortfall,1000
GS5,shortfall,shortfall,1000
GS6,shortfall,shortfall,1000
GS7,shortfall,shortfall,1000
SRP,shortfall,shortfall,1000
SHV,shortfall,shortfall,1000
KPCM,shortfall,shortfall,1000
BTB,shortfall,shortfall,1000
BMC,shortfall,shortfall,1000
STR,shortfall,shortfall,1000
TKO,shortfall,shortfall,1000
KPT,shortfall,shortfall,1000
KPS,shortfall,shortfall,1000
