source,sink,line_cap_user,type,n_circuits,source_kv,sink_kv,distance,pownet_stability_limit,pownet_thermal_limit,pownet_line_capacity,pownet_reactance_pu,pownet_susceptance
pGas,Node3,1762.0,acsr,1,765,275,55,14366.0,6360.0,6360.0,13.992,15035
Node3,Node1,1762.0,acsr,2,275,275,175,2274.0,1010.0,1010.0,63.875,1183
Node1,Node2,100.0,acsr,2,275,275,350,1156.0,1010.0,1010.0,127.75,591
pOil,Node3,200.0,acsr,2,275,275,40,9896.0,1010.0,1010.0,14.6,5179
pBiomass,Node2,300.0,acsr,2,275,275,150,2649.0,1010.0,1010.0,54.75,1381
Buyer,kirirom3,300.0,acsr,2,275,275,400,1019.0,1010.0,1010.0,146.0,517
Supplier,Node1,80.0,acsr,2,275,275,350,1156.0,1010.0,1010.0,127.75,591
kirirom3,Node2,100.0,acsr,2,275,275,300,1341.0,1010.0,1010.0,109.5,690
kirirom1,Node2,,acsr,2,275,275,300,1341.0,1010.0,1010.0,109.5,690
kamchay,Node1,,acsr,2,275,275,300,1341.0,1010.0,1010.0,109.5,690
atay,Node1,,acsr,2,275,275,300,1341.0,1010.0,1010.0,109.5,690
