name,fuel_type,marginal_cost
NamMang1,hydropower,0
NamNgiep2C,hydropower,0
NamSan3B,hydropower,0
HouayLamphan,hydropower,0
Xenamnoy6,hydropower,0
Xenamnoy1,hydropower,0
NamOu6,hydropower,0
HouayHo,hydropower,0
NamOu5,hydropower,0
NamOu2,hydropower,0
NamKhan3,hydropower,0
NamKhan2,hydropower,0
NamSana,hydropower,0
NamLik1n2,hydropower,0
NamNgum5,hydropower,0
NamNgum2,hydropower,0
Xekaman3,hydropower,0
NamNgum1,hydropower,0
NamLeuk,hydropower,0
NamMang3,hydropower,0
NamNgiep2,hydropower,0
NamNgiep3A,hydropower,0
NamSan3A,hydropower,0
NamTheun2,hydropower,0
Xekaman1,hydropower,0
TheunHinboun,hydropower,0
Xeset1,hydropower,0
Xeset3,hydropower,0
Xeset2,hydropower,0
Salabam,hydropower,0
